path	category	ownership	lines	bytes	sha256
.dockerignore	other-text	maintained	77	995	bed35b2501d8c70f8d94077807669892b843b55487f297dde210b8e2872ba533
.gitattributes	other-text	maintained	22	373	1e7e4dd88806c211173003844b25304bac2ba04d0c2dc4afbb7a5e181fd3bf7c
.github/audit-exceptions.yml	configuration	maintained	37	1663	34747d9cfc6e33b54ebfbba2563c5389a24a4fee19ec0fec0d3522b8745ea0f7
.github/workflows/backend-ci.yml	workflow	maintained	69	1754	6c436930af90124f6377e9b1a830ea45878e95eb12df6ff115699cd1cbc0a915
.github/workflows/cla.yml	workflow	maintained	66	2476	b4d893c606d634541297efa8da2eb0d6da90f4cbd0517a83c8e91d5915728ce3
.github/workflows/lightsail-deploy.yml	workflow	maintained	182	6792	a17e6ab95266fee8776570ca001444a680384fbd510a7deed6fdb86979243079
.github/workflows/module-release.yml	workflow	maintained	74	3023	dc931dc16be5b4edf83303f658882af95838093819074a6f70afd22ab6d194e5
.github/workflows/release.yml	workflow	maintained	653	24362	db898a149f708f4f32ad338000560556f973b13cb227ce6f6f12cc3b1496509e
.github/workflows/security-scan.yml	workflow	maintained	58	1546	1a717dfb15e80396aadb83978a7e5ed2577fca300db9813c022eee5e58b7cfce
.gitignore	other-text	maintained	180	2954	54a0603781861a946913f890217e90634dc4ff0d5e5f22e0e5dfb9d8c873d114
.goreleaser.simple.yaml	configuration	maintained	84	2087	560ea0802eabc91650749350b949cc272e37768cfc39a1a381a362a0b17cd34e
.goreleaser.yaml	configuration	maintained	204	7162	a72c001f6e7aa11fda9579cfae27a0df233e6e7482bd5f022f4ff6297772ffca
CHANGELOG.md	documentation	maintained	175	7709	0fe98ee53a493f77c1ab6603b23a87200c172aa0d60d10c5c87123c5896fd881
CLA.md	documentation	maintained	73	7030	1539e9620ea509d74702aa7ce2176f88adfdaa8f269a8fb701159b11a08b995c
DEV_GUIDE.md	documentation	maintained	346	9185	196d76feb4c5898fed983fb13499f1d1113db84872649de7d6cd931171b70e92
Dockerfile	tooling	maintained	137	4942	a07fa54f9881d1eb25fa4653bdfcc96550bf7e4fa7953a9ed5b88d9ff875121b
Dockerfile.goreleaser	other-text	maintained	62	2116	1709c5f34c1268966ecca43f34891acf2d1d653c018ff823fa95971cf1a3522c
LICENSE	other-text	maintained	165	7651	a5681bf9b05db14d86776930017c647ad9e6e56ff6bbcfdf21e5848288dfaf1b
Makefile	tooling	maintained	57	1819	a973a71a535657d7c435aa1b8f75515b00ac084198dddf5185268383e63910f2
README.md	documentation	generated	217	8731	ffa1b4f7414c2610ac8b2d8176be1d896a301aae39eb9bf6647ad770796eb2bd
README_CN.md	documentation	maintained	210	8248	786cd59b59efb8c6344b61a12caea265015cabc0b18bb6c36880be54b184c342
agent.md	documentation	maintained	43	2299	b1946c5d0839d5a7953e44d1b5017f7a768ba97b1f376ffc318dd9f52c48d6a6
backend/.dockerignore	other-text	maintained	2	18	44a0e1876e9e2ed5c2b4cd18762fa3d5d2611532264ba80d619a5360239b3fea
backend/.golangci.yml	configuration	maintained	139	4958	3b80e3c204e940a8d0522defc510956265bfea37ae8f1bab0e6352e235e94ecb
backend/Dockerfile	tooling	maintained	24	313	22ecc95d991b918909726768212f722c622784c664a6f726c1da1b9c59a49534
backend/Makefile	tooling	maintained	27	563	8fd53ca4632d681789bbdba918317206d63eff8b2a13cfc725136f88c2d0b0e3
backend/cmd/jwtgen/main.go	backend-go	maintained	57	1449	42a1503bcebda05881f8efa05d5f56a2405e2a904667dd87cb1ee77e90fc332e
backend/cmd/model-sync-smoke/README.md	documentation	maintained	47	1255	94d26b21fc09c0544be65ab80c424cbe5ca0870a8b0cd3b8ff838230d7e32437
backend/cmd/model-sync-smoke/main.go	backend-go	maintained	195	6131	30a89fd0dc24c2a0ab7f540d1cf26158936612103e15b227fb4ee151fb789252
backend/cmd/model-sync-smoke/main_test.go	backend-go	maintained	174	6378	75550b4ce06d0a6540df9acb9793929e33076570f90cf5416b92acd180b4fa1a
backend/cmd/module-migrate/main.go	backend-go	maintained	47	2079	fc048ad91f01d0c288222e5742a9cdef75b305d890ff7d844236eb0a57143ba1
backend/cmd/server/VERSION	other-text	maintained	1	6	a0dc8325e2fbe558e09bf7d61260ca378151b0a3f875dd8b46ecd3693e34c10b
backend/cmd/server/cleanup.go	backend-go	maintained	258	6840	d3b6826d0a76cab0d573a6a2ae3091e44980c79378fb1865b1dc768187f4f2e5
backend/cmd/server/cleanup_test.go	backend-go	maintained	47	1359	941fb150cc7fb912493e8f2d8b30d3a56b782379213310c6dd0c11740bce28bd
backend/cmd/server/main.go	backend-go	maintained	205	5377	ac0796b43393359f52b48e68d20bba5309421ed87e6b8f0eeba133a44013d344
backend/cmd/server/wire.go	backend-go	maintained	113	3001	2f54845a546922125f66bf04936918a839e468ee5b818f59c3a0d1b468f29d00
backend/cmd/server/wire_gen.go	backend-go	generated	388	31693	5f0bb930e6c45f0b40ca366b022f65d5f8b6c9b0a0d93eb946573c461a17cb3e
